Pressure
city: Ciudad de M&eacute;xico
cityCode: MEX
country: M&eacute;xico
mesurementAgency: SIMAT
URL: http://www.aire.cdmx.gob.mx
timeStamp: 2019/01/01 al 2019/01/31
average_interval: 001h
Date,cve_station,parameter,value,unit
02-01-2019 04:00,CUT,PA,584,9
02-01-2019 04:00,HGM,PA,584,9
02-01-2019 04:00,INN,PA,529,9
02-01-2019 04:00,LAA,PA,584.8,9
02-01-2019 04:00,MER,PA,584.8,9
02-01-2019 04:00,MON,PA,,9
02-01-2019 04:00,MPA,PA,560,9
02-01-2019 04:00,TLA,PA,582,9
02-01-2019 04:00,XAL,PA,583,9
02-01-2019 05:00,AJM,PA,558.6,9
02-01-2019 05:00,CUT,PA,584.2,9
02-01-2019 05:00,HGM,PA,584,9
02-01-2019 05:00,INN,PA,529.1,9
02-01-2019 05:00,LAA,PA,585.1,9
02-01-2019 05:00,MER,PA,585,9
02-01-2019 05:00,MON,PA,,9
02-01-2019 05:00,MPA,PA,560,9
02-01-2019 05:00,TLA,PA,582,9
02-01-2019 05:00,XAL,PA,583,9
02-01-2019 06:00,AJM,PA,558.8,9
02-01-2019 06:00,CUT,PA,584.3,9
02-01-2019 06:00,HGM,PA,585,9
02-01-2019 06:00,INN,PA,529.2,9
02-01-2019 06:00,LAA,PA,585.3,9
02-01-2019 06:00,MER,PA,585.3,9
02-01-2019 06:00,MON,PA,,9
02-01-2019 06:00,MPA,PA,560.4,9
02-01-2019 06:00,TLA,PA,582,9
02-01-2019 06:00,XAL,PA,583,9
02-01-2019 07:00,AJM,PA,559.2,9
02-01-2019 07:00,CUT,PA,584.8,9
02-01-2019 07:00,HGM,PA,585,9
02-01-2019 07:00,INN,PA,529.6,9
02-01-2019 07:00,LAA,PA,585.8,9
02-01-2019 07:00,MER,PA,585.7,9
02-01-2019 07:00,MON,PA,,9
02-01-2019 07:00,MPA,PA,561,9
02-01-2019 07:00,TLA,PA,582,9
02-01-2019 07:00,XAL,PA,584,9
02-01-2019 08:00,AJM,PA,559.9,9
02-01-2019 08:00,CUT,PA,585.6,9
02-01-2019 08:00,HGM,PA,586,9
02-01-2019 08:00,INN,PA,530.1,9
02-01-2019 08:00,LAA,PA,586.5,9
02-01-2019 08:00,MER,PA,586.4,9
02-01-2019 08:00,MON,PA,,9
02-01-2019 08:00,MPA,PA,561.5,9
02-01-2019 08:00,TLA,PA,583,9
02-01-2019 08:00,XAL,PA,584,9
02-01-2019 09:00,AJM,PA,559.9,9
02-01-2019 09:00,CUT,PA,585.6,9
02-01-2019 09:00,HGM,PA,586,9
02-01-2019 09:00,INN,PA,530.2,9
02-01-2019 09:00,LAA,PA,586.6,9
02-01-2019 09:00,MER,PA,586.5,9
02-01-2019 09:00,MON,PA,,9
02-01-2019 09:00,MPA,PA,561.5,9
02-01-2019 09:00,TLA,PA,583,9
02-01-2019 09:00,XAL,PA,584,9
02-01-2019 10:00,AJM,PA,559.7,9
02-01-2019 10:00,CUT,PA,585.4,9
02-01-2019 10:00,HGM,PA,586,9
02-01-2019 10:00,INN,PA,530.2,9
02-01-2019 10:00,LAA,PA,586.3,9
02-01-2019 10:00,MER,PA,586.3,9
02-01-2019 10:00,MON,PA,,9
02-01-2019 10:00,MPA,PA,561,9
02-01-2019 10:00,TLA,PA,583,9
02-01-2019 10:00,XAL,PA,584,9
02-01-2019 11:00,AJM,PA,560,9
02-01-2019 11:00,CUT,PA,585.4,9
02-01-2019 11:00,HGM,PA,586,9
02-01-2019 11:00,INN,PA,530.6,9
02-01-2019 11:00,LAA,PA,586.3,9
02-01-2019 11:00,MER,PA,586.4,9
02-01-2019 11:00,MON,PA,,9
02-01-2019 11:00,MPA,PA,561,9
02-01-2019 11:00,TLA,PA,583,9
02-01-2019 11:00,XAL,PA,585,9
02-01-2019 12:00,AJM,PA,559.7,9
02-01-2019 12:00,CUT,PA,584.9,9
02-01-2019 12:00,HGM,PA,585,9
02-01-2019 12:00,INN,PA,530.3,9
02-01-2019 12:00,LAA,PA,585.7,9
02-01-2019 12:00,MER,PA,585.8,9
02-01-2019 12:00,MON,PA,,9
02-01-2019 12:00,MPA,PA,560.4,9
02-01-2019 12:00,TLA,PA,583,9
02-01-2019 12:00,XAL,PA,584,9
02-01-2019 13:00,AJM,PA,559,9
02-01-2019 13:00,CUT,PA,584,9
02-01-2019 13:00,HGM,PA,584,9
02-01-2019 13:00,INN,PA,529.7,9
02-01-2019 13:00,LAA,PA,584.9,9
02-01-2019 13:00,MER,PA,584.9,9
02-01-2019 13:00,MON,PA,,9
02-01-2019 13:00,MPA,PA,559.4,9
02-01-2019 13:00,TLA,PA,582,9
02-01-2019 13:00,XAL,PA,584,9
02-01-2019 14:00,AJM,PA,557.9,9
02-01-2019 14:00,CUT,PA,582.9,9
02-01-2019 14:00,HGM,PA,583,9
02-01-2019 14:00,INN,PA,528.8,9
02-01-2019 14:00,LAA,PA,583.7,9
02-01-2019 14:00,MER,PA,583.7,9
02-01-2019 14:00,MON,PA,,9
02-01-2019 14:00,MPA,PA,558.4,9
02-01-2019 14:00,TLA,PA,581,9
02-01-2019 14:00,XAL,PA,582,9
02-01-2019 15:00,AJM,PA,557.4,9
02-01-2019 15:00,CUT,PA,582.1,9
02-01-2019 15:00,HGM,PA,583,9
02-01-2019 15:00,INN,PA,528.4,9
02-01-2019 15:00,LAA,PA,583,9
02-01-2019 15:00,MER,PA,583,9
02-01-2019 15:00,MON,PA,,9
02-01-2019 15:00,MPA,PA,558,9
02-01-2019 15:00,TLA,PA,580,9
02-01-2019 15:00,XAL,PA,582,9
02-01-2019 16:00,AJM,PA,556.9,9
02-01-2019 16:00,CUT,PA,581.6,9
02-01-2019 16:00,HGM,PA,582,9
02-01-2019 16:00,INN,PA,528,9
02-01-2019 16:00,LAA,PA,582.5,9
02-01-2019 16:00,MER,PA,582.6,9
02-01-2019 16:00,MON,PA,,9
02-01-2019 16:00,MPA,PA,557.9,9
02-01-2019 16:00,TLA,PA,580,9
02-01-2019 16:00,XAL,PA,581,9
02-01-2019 17:00,AJM,PA,557,9
02-01-2019 17:00,CUT,PA,581.7,9
02-01-2019 17:00,HGM,PA,582,9
02-01-2019 17:00,INN,PA,528.2,9
02-01-2019 17:00,LAA,PA,582.6,9
02-01-2019 17:00,MER,PA,582.6,9
02-01-2019 17:00,MON,PA,,9
02-01-2019 17:00,MPA,PA,557.4,9
02-01-2019 17:00,TLA,PA,580,9
02-01-2019 17:00,XAL,PA,581,9
02-01-2019 18:00,AJM,PA,557.4,9
02-01-2019 18:00,CUT,PA,582.1,9
02-01-2019 18:00,HGM,PA,583,9
02-01-2019 18:00,INN,PA,528.5,9
02-01-2019 18:00,LAA,PA,583.1,9
02-01-2019 18:00,MER,PA,583,9
02-01-2019 18:00,MON,PA,,9
02-01-2019 18:00,MPA,PA,558.1,9
02-01-2019 18:00,TLA,PA,580,9
02-01-2019 18:00,XAL,PA,582,9
02-01-2019 19:00,AJM,PA,557.8,9
02-01-2019 19:00,CUT,PA,582.7,9
02-01-2019 19:00,HGM,PA,583,9
02-01-2019 19:00,INN,PA,528.9,9
02-01-2019 19:00,LAA,PA,583.6,9
02-01-2019 19:00,MER,PA,583.5,9
02-01-2019 19:00,MON,PA,,9
02-01-2019 19:00,MPA,PA,559,9
02-01-2019 19:00,TLA,PA,581,9
02-01-2019 19:00,XAL,PA,582,9
02-01-2019 20:00,AJM,PA,558.3,9
02-01-2019 20:00,CUT,PA,583.2,9
02-01-2019 20:00,HGM,PA,584,9
02-01-2019 20:00,INN,PA,529.3,9
02-01-2019 20:00,LAA,PA,584.2,9
02-01-2019 20:00,MER,PA,584.1,9
02-01-2019 20:00,MON,PA,,9
02-01-2019 20:00,MPA,PA,559.8,9
02-01-2019 20:00,TLA,PA,581,9
02-01-2019 20:00,XAL,PA,583,9
02-01-2019 21:00,AJM,PA,558.6,9
02-01-2019 21:00,CUT,PA,583.8,9
02-01-2019 21:00,HGM,PA,584,9
02-01-2019 21:00,INN,PA,529.6,9
02-01-2019 21:00,LAA,PA,584.6,9
02-01-2019 21:00,MER,PA,584.5,9
02-01-2019 21:00,MON,PA,,9
02-01-2019 21:00,MPA,PA,560,9
02-01-2019 21:00,TLA,PA,582,9
02-01-2019 21:00,XAL,PA,583,9
02-01-2019 22:00,AJM,PA,558.8,9
02-01-2019 22:00,CUT,PA,584,9
02-01-2019 22:00,HGM,PA,584,9
02-01-2019 22:00,INN,PA,529.6,9
02-01-2019 22:00,LAA,PA,584.9,9
02-01-2019 22:00,MER,PA,584.8,9
02-01-2019 22:00,MON,PA,,9
02-01-2019 22:00,MPA,PA,560,9
02-01-2019 22:00,TLA,PA,582,9
02-01-2019 22:00,XAL,PA,583,9
02-01-2019 23:00,AJM,PA,559.2,9
02-01-2019 23:00,CUT,PA,584.3,9
02-01-2019 23:00,HGM,PA,585,9
02-01-2019 23:00,INN,PA,529.8,9
02-01-2019 23:00,LAA,PA,585.3,9
02-01-2019 23:00,MER,PA,585.2,9
02-01-2019 23:00,MON,PA,,9
02-01-2019 23:00,MPA,PA,560.2,9
02-01-2019 23:00,TLA,PA,582,9
02-01-2019 23:00,XAL,PA,584,9
02-01-2019 24:00,AJM,PA,559.2,9
02-01-2019 24:00,CUT,PA,584.3,9
02-01-2019 24:00,HGM,PA,585,9
02-01-2019 24:00,INN,PA,529.7,9
02-01-2019 24:00,LAA,PA,585.3,9
02-01-2019 24:00,MER,PA,585.2,9
02-01-2019 24:00,MON,PA,,9
02-01-2019 24:00,MPA,PA,560.8,9
02-01-2019 24:00,TLA,PA,582,9
02-01-2019 24:00,XAL,PA,583,9
03-01-2019 01:00,AJM,PA,559.1,9
03-01-2019 01:00,CUT,PA,584.3,9
03-01-2019 01:00,HGM,PA,585,9
03-01-2019 01:00,INN,PA,529.7,9
03-01-2019 01:00,LAA,PA,585.3,9
03-01-2019 01:00,MER,PA,585.2,9
03-01-2019 01:00,MON,PA,,9
03-01-2019 01:00,MPA,PA,560.8,9
03-01-2019 01:00,TLA,PA,582,9
03-01-2019 01:00,XAL,PA,583,9
03-01-2019 02:00,AJM,PA,559.2,9
03-01-2019 02:00,CUT,PA,584.4,9
03-01-2019 02:00,HGM,PA,585,9
03-01-2019 02:00,INN,PA,529.8,9
03-01-2019 02:00,LAA,PA,585.4,9
03-01-2019 02:00,MER,PA,585.3,9
03-01-2019 02:00,MON,PA,,9
03-01-2019 02:00,MPA,PA,561,9
03-01-2019 02:00,TLA,PA,582,9
03-01-2019 02:00,XAL,PA,584,9
03-01-2019 03:00,AJM,PA,558.9,9
03-01-2019 03:00,CUT,PA,584.2,9
03-01-2019 03:00,HGM,PA,585,9
03-01-2019 03:00,INN,PA,529.5,9
03-01-2019 03:00,LAA,PA,585.2,9
03-01-2019 03:00,MER,PA,585.2,9
03-01-2019 03:00,MON,PA,,9
03-01-2019 03:00,MPA,PA,560.4,9
03-01-2019 03:00,TLA,PA,582,9
03-01-2019 03:00,XAL,PA,583,9
03-01-2019 04:00,AJM,PA,558.9,9
03-01-2019 04:00,CUT,PA,584.1,9
03-01-2019 04:00,HGM,PA,584,9
03-01-2019 04:00,INN,PA,529.4,9
03-01-2019 04:00,LAA,PA,585.2,9
03-01-2019 04:00,MER,PA,585.1,9
03-01-2019 04:00,MON,PA,,9
03-01-2019 04:00,MPA,PA,560.3,9
03-01-2019 04:00,TLA,PA,582,9
03-01-2019 04:00,XAL,PA,583,9
03-01-2019 05:00,AJM,PA,558.6,9
03-01-2019 05:00,CUT,PA,584,9
03-01-2019 05:00,HGM,PA,584,9
03-01-2019 05:00,INN,PA,529.2,9
03-01-2019 05:00,LAA,PA,585.1,9
03-01-2019 05:00,MER,PA,585,9
03-01-2019 05:00,MON,PA,,9
03-01-2019 05:00,MPA,PA,560,9
03-01-2019 05:00,TLA,PA,582,9
03-01-2019 05:00,XAL,PA,583,9
03-01-2019 06:00,AJM,PA,558.6,9
03-01-2019 06:00,CUT,PA,583.9,9
03-01-2019 06:00,HGM,PA,584,9
03-01-2019 06:00,INN,PA,529.1,9
03-01-2019 06:00,LAA,PA,585,9
03-01-2019 06:00,MER,PA,584.9,9
03-01-2019 06:00,MON,PA,,9
03-01-2019 06:00,MPA,PA,560,9
03-01-2019 06:00,TLA,PA,582,9
03-01-2019 06:00,XAL,PA,583,9
03-01-2019 07:00,AJM,PA,558.8,9
03-01-2019 07:00,CUT,PA,584.2,9
03-01-2019 07:00,HGM,PA,585,9
03-01-2019 07:00,INN,PA,529.3,9
03-01-2019 07:00,LAA,PA,585.2,9
03-01-2019 07:00,MER,PA,585.2,9
03-01-2019 07:00,MON,PA,,9
03-01-2019 07:00,MPA,PA,560,9
03-01-2019 07:00,TLA,PA,582,9
03-01-2019 07:00,XAL,PA,583,9
03-01-2019 08:00,AJM,PA,559.3,9
03-01-2019 08:00,CUT,PA,585,9
03-01-2019 08:00,HGM,PA,585,9
03-01-2019 08:00,INN,PA,529.9,9
03-01-2019 08:00,LAA,PA,585.8,9
03-01-2019 08:00,MER,PA,585.8,9
03-01-2019 08:00,MON,PA,,9
03-01-2019 08:00,MPA,PA,560.9,9
03-01-2019 08:00,TLA,PA,583,9
03-01-2019 08:00,XAL,PA,584,9
03-01-2019 09:00,AJM,PA,560.1,9
03-01-2019 09:00,CUT,PA,585.7,9
03-01-2019 09:00,HGM,PA,586,9
03-01-2019 09:00,INN,PA,530.5,9
03-01-2019 09:00,LAA,PA,586.6,9
03-01-2019 09:00,MER,PA,586.6,9
03-01-2019 09:00,MON,PA,,9
03-01-2019 09:00,MPA,PA,561.5,9
03-01-2019 09:00,TLA,PA,584,9
03-01-2019 09:00,XAL,PA,585,9
03-01-2019 10:00,AJM,PA,560.5,9
03-01-2019 10:00,CUT,PA,585.8,9
03-01-2019 10:00,HGM,PA,586,9
03-01-2019 10:00,INN,PA,530.9,9
03-01-2019 10:00,LAA,PA,586.9,9
03-01-2019 10:00,MER,PA,586.9,9
03-01-2019 10:00,MON,PA,,9
03-01-2019 10:00,MPA,PA,562,9
03-01-2019 10:00,TLA,PA,584,9
03-01-2019 10:00,XAL,PA,585,9
03-01-2019 11:00,AJM,PA,560.2,9
03-01-2019 11:00,CUT,PA,585.5,9
03-01-2019 11:00,HGM,PA,586,9
03-01-2019 11:00,INN,PA,530.8,9
03-01-2019 11:00,LAA,PA,586.6,9
03-01-2019 11:00,MER,PA,586.6,9
03-01-2019 11:00,MON,PA,,9
03-01-2019 11:00,MPA,PA,561.2,9
03-01-2019 11:00,TLA,PA,584,9
03-01-2019 11:00,XAL,PA,585,9
03-01-2019 12:00,AJM,PA,559.7,9
03-01-2019 12:00,CUT,PA,585.1,9
03-01-2019 12:00,HGM,PA,585,9
03-01-2019 12:00,INN,PA,530.4,9
03-01-2019 12:00,LAA,PA,585.9,9
03-01-2019 12:00,MER,PA,585.9,9
03-01-2019 12:00,MON,PA,,9
03-01-2019 12:00,MPA,PA,560.4,9
03-01-2019 12:00,TLA,PA,583,9
03-01-2019 12:00,XAL,PA,585,9
03-01-2019 13:00,AJM,PA,559.4,9
03-01-2019 13:00,CUT,PA,584.4,9
03-01-2019 13:00,HGM,PA,585,9
03-01-2019 13:00,INN,PA,530.1,9
03-01-2019 13:00,LAA,PA,585.3,9
03-01-2019 13:00,MER,PA,585.4,9
03-01-2019 13:00,MON,PA,,9
03-01-2019 13:00,MPA,PA,560,9
